# ==== Vocabulary ====
the 30550
swell ings 1
tur key cocks 1
bed lam 7
trojan 40
par cas 1
qual mish 1
pes e ech 1
scur f y 1
pet itions 7
cad wall ad er 1
mountains quire 1
aston ishd 3
pe at 3
plo od y 1
am bi gu ities 2
gro at 5
cudge ls 2
wood mong er 1
cou ter feit 1
pre deceased 1
g le e king 1
cudge lld 3
contri vd 5
jo you s 2
inter view 5
con greet ed 1
plent ies 1
fer t ility 2
cheer er 1
un pr un ed 3
hed ges 5
even ple ach d 1
over grown 1
disorder d 3
fall ow 3
le as 3
dar nel 3
hem lock 3
fum it ory 1
c oul ter 1
rust s 1
der ac inate 2
sav ag ery 2
me ad 7
fre ck led 2
burn et 1
clo ver 1
un corre cted 1
conce ives 4
teem s 3
do cks 2
this tles 1
ke ck sies 1
ut ility 1
fall ows 1
me ads 6
sc iences 2
sav ages as 1
medit ate 2
diff usd 1
re du ce 4
in conven iences 1
cited 6
ten ours 1
en sc he du ld 1
cur sor ary 1
oer gl ancd 1
hunting ton 1
augment 4
advantage able 1
com pr isd 1
forer ank 1
broken ly 1
wat 4
ang es 1
v raiment 2
lang ues 1
des 1
ho m mes 1
ple ines 1
t rom per ies 1
dece its 3
dat 24
english woman 1
leap frog 1
sun burning 1
un co ined 1
prat er 1
cur ld 2
new married 3
qu and 2
moi let 1
den is 5
speed don c 1
mi en ne 1
fr ana is 1
parle z 1
me ill e ur 1
le quel 1
truly falsely 1
merc ifully 1
soldier breeder 1
constant in ople 1
flower de luce 2
bell e 1
katherine 84
mon 5
cher 1
divin 1
des se 1
majest e e 2
ave 1
fa us se 1
de mo ise ll e 1
un temper ing 1
lay er 1
ro i 3
pre 1
la is se z 3
ve u x 1
a ba iss ie z 1
grand e ur 1
ba is ant 1
dun en ot re 1
seigneur ind ig ne 1
serv ite ur 2
tr sp u iss ant 1
de mo ise ll es 1
tre 1
ba ises 1
le ur s 1
no ces 1
c out ume 1
france i 1
ba is er 1
angl ish 1
ent end 1
bet tre 1
custo ms 5
makers 1
find faults 1
up holding 1
frank ness 1
ros d 1
summer d 1
bar tho lo me w tide 1
pers pect ively 1
gird led 2
not re 1
tr s cher 1
f ils 1
hen ri 1
h r it ier 1
pra e clar iss im us 1
fi lius 1
no ster 1
hen ri cus 1
re x 2
ang lia e 1
ha eres 1
fr anci ae 1
alliance 17
contending 10
christian like 4
sp ous al 2
pa ction 1
all unable 1
conf ining 2
man gling 2
man ag ing 2
tower 96
au ver g ne 4
bordeaux 12
gas cony 4
anjou 20
angiers 20
protector 51
regent 21
beaufort 19
winchester 68
cardinal 143
somerset 147
fastolf 10
lucy 22
gl ans dale 4
gar grave 8
wood ville 7
wh iter ose 1
basset 11
red rose 1
mortim ers 4
jailers 16
reignier 50
tit ular 1
naples 33
joan 28
pucelle 78
margaret 290
common ly 5
arc 3
ward ers 3
come ts 3
revol ting 4
brand ishd 4
da zzled 2
mid day 4
coffin 14
gl or ify 3
gl or ys 2
subtle witted 1
conjur ers 2
judgement day 1
church s 1
church men 6
decay d 1
over awe 1
look est 1
hold eth 2
through out 7
go st 2
a wait 2
dis com fit ure 1
gu i en ne 1
cham pa ig ne 1
rhe im s 3
gu ys ors 1
po ict iers 2
mut ter ed 1
disput ing 1
want eth 6
gu ile ful 2
new begot 1
cro ppd 4
flower de luc es 2
t ides 6
disgrace ful 1
inter miss ive 1
f lie th 1
slack 13
doubt st 1
over run 1
la ments 8
au gust 2
en compassed 7
en rank 1
arch ers 3
pit ched 5
conf used ly 1
en acted 5
enra gd 5
exclaim d 1
aga zd 1
spy ing 3
und aunt ed 4
mas sa cre 6
wall o on 2
foe men 2
hunger ford 2
slaughter d 8
head long 7
bon fires 6
besie gd 2
crave th 1
quell 6
mun ition 2
el th am 3
other whiles 1
be eves 1
m ice 4
re maine th 3
mad bra ind 2
fret ting 4
kill eth 1
d ast ards 2
ho mic ide 4
fight eth 1
fro iss art 1
sam sons 2
go li ases 1
sen deth 1
raw bond 1
g im mers 1
app all d 1
dismay d 7
ordain ed 6
si by ls 2
des cry 6
un fall ible 1
unt ra ind 1
con temp ti ble 2
wait ed 7
dis playd 5
deign ed 1
reve ald 1
where as 8
ray s 5
inf used 3
un pre medit ated 1
vanqu ish est 1
ren ounce 5
keen ed gd 1
t our aine 5
kathar ines 1
over comes 1
amaz on 4
fight est 1
de bor ah 1
chris ts 2
im patiently 3
sue th 1
profess ions 5
shri ves 1
disturb 14
dis trust ful 1
recre ants 2
mart ins 1
hal cy ons 1
cease th 1
sp reading 3
ma home t 1
constant ine 1
phi lips 1
im mor ta li zed 1
imperious ly 2
will ed 2
warrant ize 1
fain thearted 3
priz est 1
pe eld 1
pro dit or 1
contri ved st 1
gi vst 7
ind ul gen ces 1
cardinals 25
dam as cus 1
a bel 1
bearing cloth 2
privile ged 3
cu ff 6
pope 19
con tu me li ously 1
distra ind 1
oer char ging 1
tumult uous 4
dwelling places 1
hence forward 6
heart blood 7
besie ged 4
su bur bs 8
master gun ner 1
in trench d 1
over peer 2
intercept 4
in conven ience 1
spy st 1
governor s 7
spy 28
tur ret s 5
hand led 4
got st 3
re le asd 1
pon ton 1
s ant ra illes 1
b arter d 1
vile esteem d 1
f ists 1
entertain d 6
sc off s 3
con tu me li ous 3
produ ced 3
sc are crow 2
gr is ly 3
deem d 1
adam ant 3
sufficient ly 3
skir mish es 1
thir teen 5
tr ump 6
vie we th 1
a venge 1
tumult s 2
come th 4
prophet ess 5
lif teth 1
pu z el 1
dog fish 1
qu ag mire 2
pursue th 1
drive th 2
chase th 1
chast ise 6
high minded 1
vi ctual 2
hungry starved 1
whir led 1
pot ters 1
h an ni bal 4
st ench 4
hi ves 1
w helps 2
le op ard 3
oft subdued 1
salis bur ys 1
divin est 3
ast ra eas 1
blo om d 1
state lier 1
pyra mis 1
r ho do pes 1
mem p his 1
rich je we ld 1
coffer 9
dar ius 1
fest ival s 2
fr ances 2
sentine l 6
serv itors 3
ar to is 1
car oused 2
banquet ed 1
ba le ful 7
sorcer y 2
fort itude 5
mas cul ine 3
stand ard 5
bul war ks 4
st 5
un ready 3
scap d 6
chamber doors 1
vent urous 5
sped 9
def ens ive 2
deceit ful 8
part ak ers 1
im prov ident 2
weighty 13
pre cin ct 1
fro 3
relie ving 1
weak ly 4
plat forms 1
end ama ge 2
over ve ild 1
ere ct 4
engra ved 2
new come 2
d us ky 6
vap ors 1
scar ed 5
turtle doves 1
applaud ed 1
com ic 2
or atory 6
over ruled 2
un bid den 1
wel com est 1
scy th ian 2
to my ris 1
cy rus 1
fa bul ous 2
strong knit 2
dwar f 4
w ri th led 1
shri mp 2
a br upt 1
cer t ify 1
talbots 18
blood thirsty 1
gall ery 8
capti vate 3
laugh est 1
rid d ling 3
contr ar i et ies 1
yoke th 1
ra ze th 1
sub ver ts 1
desol ate 7
mis con ster 2
bla des 3
da w 2
pur blind 6
appare lld 5
sign ific ants 1
true born 2
few est 2
object ed 1
witness ing 2
consum ing 4
li one l 4
crest less 1
rip end 2
blood drinking 3
bra ved 3
decay ing 1
gr ay 3
pursuivant s 2
nestor like 1
ar gue 6
over borne 6
burden ing 1
pith less 1
droop s 3
sap less 2
num b 2
unable 6
swift winged 2
wit ting 1
arbit rat or 3
despair s 1
ump ire 4
ig nobly 4
yorks 13
detain d 2
flower ing 3
first begotten 1
per cies 1
endeavour d 1
that young 1
hero ic 1
la bor ed 1
lang ley 6
ween ing 1
inst all d 2
stu dious 2
ad mon ish ments 1
strong fixed 1
slaughter er 1
give th 2
herm it 6
over passd 1
p am ph lets 1
stu di ously 1
intend st 1
ex temporal 3
ver bat im 1
froward 14
beseem s 5
laid st 1
tra p 4
s if ted 1
per verse 4
prefer re th 1
engend ers 6
lord ly 7
patron age 2
un reverent 3
fit teth 3
un hallow d 3
fling 8
jar 8
gna ws 2
tawny coats 1
up roar 5
pe bble 3
band ing 1
pe lt 3
slaughter ing 1
mit ig ate 3
un ac custom d 5
commonweal 9
ink horn 3
par ings 2
relent 16
trag ical 5
preach 4
serve th 1
sur geons 5
exhi bit 4
recomp ensed 1
will eth 2
re gu er don 1
gir t 4
grudge 11
ignoble 9
dis anim ates 1
f ester ed 2
sa cks 3
slo th ful 1
rul ers 1
pays ans 1
pa u v res 1
gen s 2
run g 6
pract is ants 1
spe c ify 4
thrust ing 5
discer nd 1
jo ineth 1
tal bon ites 1
tur ret 1
de fer 2
excurs ion 1
un a wares 5
sc off 2
gr ay beard 1
hag 7
en compass d 2
lust ful 7
par am ours 1
t wit 2
dam sel 8
hecate 9
se ign ie ur 2
foot boys 2
good by e 1
sustain d 2
late betrayed 1
co e ur de lions 1
cra z y 1
pend ra gon 1
en shr ines 1
ere ct s 1
bra ves 4
g le eks 1
am ort 2
exe qu ies 1
potent ates 3
cor ros ive 2
reme died 2
diff idence 2
poli cies 1
reverence d 2
persu as ions 2
mix d 6
su gard 1
entice 6
sweet ing 5
ext ir ped 1
ex pul sed 1
ear ldom 5
paris ward 1
enchant 5
hand maid 4
over tedious 1
be witch d 4
exclaim s 8
jo inst 2
fight st 2
wandering 9
batter d 3
can nons hot 1
pre ju dice 4
re claim d 2
for tresses 1
sub miss ive 4
as cri bes 1
res ident 2
st ou ter 1
re gu er d ond 1
dis gra cing 1
sp ak st 2
who so 4
broach 4
mis cre ant 4
elect 5
right eous 6
un worthily 2
inst alled 3
pat ay 1
profan ing 1
de gra ded 2
hedge born 1
blunt ly 3
su pers cri ption 2
gu ile 4
cros sing 5
car ping 3
re present 3
stubborn ly 1
re pu gn 1
ar gued 4
ig nomin ious 3
conf ut ation 1
quaint 12
pal eness 2
bewray d 2
faint ness 2
cunning ly 6
brain sick 6
fri vol ous 3
factious 10
emul ations 1
t ou cheth 5
ob je ctions 3
wa ver ing 4
dis agree 1
gr ud ging 3
will ful 1
cer t ified 2
suspic ious 5
discret ions 3
inst it ute 2
res pite 6
pretti ly 7
w ist 1
did but 1
de cipher d 1
shoulder ing 1
bandy ing 2
scep ters 1
quarter ing 1
air bra ving 1
appro acheth 4
sn ar es 5
pitch d 1
un conquer d 1
sand y 6
fa bles 2
heed less 2
park d 1
ma zed 3
ye l ping 3
ken nel 6
ras call i ke 1
moody mad 1
stag s 2
sc outs 5
dog gd 3
l out ed 1
hem md 3
forfeit ing 2
sunder d 1
maine 19
blo is 1
t ours 3
v ult ure 6
negle ction 3
ever living 1
over daring 1
un heedful 2
oer matchd 1
ring d 1
assail ing 2
war wearied 1
per is heth 1
fra ud 6
ent ra ppd 1
noble minded 2
stratage ms 5
bu to 1
ill boding 2
un avoided 4
preserved 8
hem med 1
res c ues 2
bold faced 1
quick end 1
inter changing 2
pur posing 1
french mens 4
short ning 1
house holds 6
ic arus 3
capti vity 7
tender ing 1
di zz ye yd 1
clu ster ing 2
over moun ting 1
laugh st 1
li ther 1
raging wood 1
in hear sed 1
nur ser 1
gall ias 1
wash ford 1
water ford 1
val ence 1
good rig 1
ur chin field 1
black mere 1
ver dun 1
al ton 1
cromwell 44
wing field 1
furn ival 1
she ff ield 1
fal conbridge 5
magn if iest 1
fly blown 1
french mans 2
ne mes is 1
up start 2
put ri f y 1
re ard 4
arma gna c 3
god ly 4
stab lish 1
im man ity 1
profess ors 3
par amour 5
legate 11
co equal 1
de bated 4
dover 21
in ship pd 1
clo thing 1
paris ians 1
ac compli ces 1
rep ine 2
spe lls 5
peri ap ts 1
ad mon ish 1
help ers 2
ac custom d 2
over long 1
lo p 4
con descend 2
blood sacrifice 1
lofty plu med 1
inc ant ations 1
dro ope th 1
un chain 1
spe lling 1
cir ce 1
pla gu ing 1
ban ning 2
enchant ress 1
gaz es 7
who soeer 2
all ot ted 2
swan 9
cy gn ets 2
servile 11
twink ling 5
daunt ed 3
cool ing 7
dis pens ation 3
en thra lld 3
qu id 1
quo 3
ser vil ity 1
scep ter 1
f ick leness 1
easy held 1
deputy 24
plight ed 4
la byr in th 3
min o ta ur s 1
lurk 10
bethink 21
ex tingu ish 1
timeless 8
bachelor ship 1
grace less 6
obst acle 2
coll op 2
af ield 4
raven ous 8
poll ut ed 3
lusts 9
mis conceived 1
infancy 11
ri gor ously 1
e ff used 1
fa g go ts 1
en ow 5
bar re ls 1
un relent ing 3
warrant eth 1
ho mic ides 1
pre c is eness 1
jug gling 5
mach i ave l 3
de lu ded 1
many whom 1
refle x 2
g loo my 3
impl ored 1
aspir ing 7
bo iling 6
ch ok es 2
vic ero y 2
regal 12
adorn 4
reason less 2
un vanquishd 1
de tract 2
co ve ting 1
obtain 12
comp rom ise 3
compar ison 7
ruthless 12
gar r ison 1
en signs 2
ri gor 1
tempest uous 4
provokes 10
ship wreck 3
ar rive 6
fru ition 1
superf ic ial 2
pre face 2
ent icing 2
betro th d 4
rul er 6
forsake th 1
market men 1
attorney ship 1
bin deth 1
bring eth 2
conquer ors 8
in flaming 3
exp ens es 4
perplex ed 3
troy an 1
edmund s 4
south wark 4
ken il worth 2
id ens 2
dart ford 2
eleanor 62
duchess 121
buckingham 254
clifford 135
vaux 9
horner 11
thum p 7
hume 19
south well 7
mar gery 8
jour dain 7
ro ger 6
simpcox 23
stanley 78
masters mate 1
whitmore 15
cade 97
bevis 12
smith 13
char th am 3
saye 21
mat the w 3
g ough 3
iden 17
kent ish 3
petition ers 5
ald er men 4
pr ent ices 3
pro cur ator 1
sic il 1
cala ber 1
bre ta g ne 1
esp oused 3
marquess 17
arise welcome 1
kis so 1
ald er lief est 1
ru der 3
over joy 1
y cla d 1
im pri mis 5
sicilia 24
thir tie th 1
duch y 2
re lea sed 4
qual m 3
duch ies 1
well lord 1
sword cousin 1
exp ired thanks 1
pillars 5
un load 2
bedford s 1
vi gil ance 3
can cell ing 1
blot ting 2
ra zing 1
de fa cing 1
per oration 1
newmade 9
dim s 1
dow ries 1
fifteen th 1
st aid 2
ran cour 5
b ick er ings 1
lord ings 3
wealthy 12
dis pleased 6
smo o thing 3
be witch 2
circum spect 2
cla pping 4
humphreys 15
house keeping 3
except ing 4
somerset s 3
buckingham s 6
pennyworth s 2
revell ing 4
while as 1
shar ed 2
bargain ed 2
cal y don 1
ne vill es 6
church like 1
dear bought 1
milk white 6
book ish 3
over ripen ed 1
ceres 14
en chased 1
gro vel 2
circle d 5
lengthen 3
a base 2
trou bl ous 4
dre amed 7
re hears al 3
office badge 1
bode 7
ca the dr al 1
ill nur ture d 1
prote ctors 8
hammer ing 3
stum bling blo cks 1
hum es 2
mul tip lied 2
confer red 1
dep th 7
under ground 2
pro pound ed 1
mum 12
as keth 2
elean ors 2
conjur ations 1
bro ker 6
attain ture 1
petitioner 10
supp lic ations 3
indeed whats 1
yours whats 1
en clo sing 1
mel ford 1
town ship 1
pursuivant 7
presently well 1
cull ions suffolk 1
alb ions 3
govern ance 1
at ilt 1
stol st 1
resem bled 3
ave mar ies 2
champ ions 4
prophe ts 5
a post les 1
canon ized 2
church man 7
grum bling 3
aven ged 4
contempt uous 2
base born 3
call et 3
vaunt ed 1
quire 2
demean ed 2
regent ship 1
disput e 6
son and 1
prefer red 6
king as 1
bond men 4
ra cked 2
cler g ys 1
bags 9
extort ions 1
treas ury 6
french woman 2
command ments 2
ham per 1
d and le 2
breech es 8
f ume 5
over blown 5
qu ad r angle 1
spite ful 3
meet est 2
un meet 6
dance d 7
gar ret 1
accus er 2
preva ile th 1
expect s 4
ex or c is ms 1
gear 10
wi zards 1
sc reech ow ls 2
band o gs 1
con ju ro 1
ter ribly 3
rise th 4
ad sum 1
m 3
as n ath 1
trash 11
in deb ted 3
gu er don ed 2
threat est 1
asunder you 1
tr in kets 3
forth coming 3
a io 1
ae ac ida 1
roman os 1
vinc ere 1
pos se 1
a waits 1
betide 8
or acles 3
ha llo o ing 1
fle w 8
fal cons 4
smooth st 1
pri es thood 2
tant aene 1
anim is 1
co el est i bus 1
ir ae 1
protector ship 3
peace makers 2
sport aside 1
two hand 1
s have 2
fence 14
medi ce 1
te ip sum 1
towns man 4
simpcox s 1
towns men 2
ber wick 3
unhallowed 9
often er 3
al ban 3
lovd st 1
plum s 1
dam sons 1
coal black 8
cloak s 5
gown s 7
sand er 2
lying est 2
impossible my 1
by now 1
lord come 2
ring leader 1
demand ing 2
heap ing 2
taint ure 1
fault less 3
poise 9
preva ils 4
cra ving 5
hat field 2
wood stock 1
third s 4
seized 11
philip pa 2
anne 173
li one ls 1
beaufort s 3
sn ared 2
ass ures 1
ne ville 1
cob ham 4
des po iled 1
judged 9
condem ns 4
ambitious ly 2
pull s 8
lo pped 4
go please 1
appe ll ant 5
best ed 1
sand bag 2
fast ened 3
char ne co 1
draught 10
a pron 3
inst ig ation 3
weapon fellow 1
reve aled 4
une ath 1
tender feeling 1
a brook 1
tear stained 1
sheet 12
deep fet 1
trow est 3
point ings tock 1
aim est 1
sca the 4
crime less 1
hold en 1
reproach fully 1
shif ted 4
strangeness 12
far off 4
kn its 4
un bowed 1
seemeth 12
respect ing 6
shallow rooted 1
oer grow 1
supp l ant 6
all eg ation 1
effect ual 4
suborn ation 3
reput ing 1
vaunt s 2
inst ig ate 2
un sounded 3
down fall 6
fra ud ful 1
firmly 9
bri bes 3
study ing 3
dis pur sed 1
gar ris ons 1
de fa med 1
fe lon ious 1
flee ced 1
pass eng ers 4
con dign 2
torture d 3
fe lon 3
sus pense 1
ran cours 2
comp lot 4
willing ness 2
bla b 3
un burdens 1
over ween ing 5
lief est 1
convent icles 1
clerk ly 4
all eg ations 1
win ners 3
gn ar ling 2
eng irt 4
lour ing 3
en vi es 2
sub vers ion 1
slaughter house 7
low ing 2
dar lings 3
be wa ils 1
un help ful 1
relent ing 3
rolled 3
check ered 1
chick en 3
surveyor 16
subt let y 2
mates 13
thri c eno ble 3
ac corde th 1
merit orious 4
orders 6
skill s 3
im pu gn s 1
un cu rable 2
far fet 1
wish est 2
un civil 8
ker ns 7
choice ly 1
irish men 1
enjoy ing 7
mean born 1
wea ves 2
politic ly 2
mad mans 4
cir cu it 4
tran spar ent 5
mad bred 1
kent ish man 1
ash ford 2
sharp quill ed 1
mor is co 1
sha g ha ired 1
un discovered 1
villain ies 5
inf lict 4
publ ished 2
stra iter 1
cul pa ble 1
me g 5
ch ir ping 1
wr en 7
first conceived 1
sugar ed 4
gaz er 3
hear to ff ending 1
blood consum ing 1
re call 3
le per 1
bod ed 2
fore warning 1
sc or p ions 2
ae ol us 1
pretty vaul ting 1
co wer ed 1
hatch es 8
earnest gaping 1
diamond s 7
in constancy 6
as can ius 1
wit ched 1
scatter 6
cal med 2
spleen ful 2
lie gest ay 1
dra in 4
thrice fa med 1
timely parted 1
ash y 4
me agre 7
blood less 8
conflict 10
at tract s 2
aid ance 2
beaut ify 5
staring 7
dis played 7
tu gged 1
stick ing 3
well proportion ed 1
noble men 7
he if er 2
part ridge 2
put to cks 1
un blood ied 1
tal ons 4
rust ed 1
contro ll er 2
blunt witted 1
blame ful 3
crab tree 2
buck lers 4
deaths man 3
quit ting 1
meant st 1
bastardy 9
blood suck er 1
breast plate 1
injustice 10
contra dict 6
gli ded 1
en ven o med 2
un pol ished 3
tink ers 4
play fellows 2
exe cr ations 2
sof thearted 3
m andra kes 2
stumble 9
dain ti est 2
cy pres stre es 1
pro spect 6
li zards 3
fright ful 2
hiss 13
boding 4
dark seated 1
torment st 1
over charged 3
gun 5
pr inted 4
surmis ed 2
lo ather 1
blasphe ming 2
omit ting 2
cradle babe 1
death ful 1
wheres oer 3
woe full st 2
c ask 1
blind ed 5
li met wi gs 1
apothecary 11
mo ver 2
med d ling 4
peace ably 2
bla bb ing 1
loud howling 1
ar ouse 2
fla gging 1
mis ty 7
pin na ce 3
down s 2
dis coloured 2
throats for 1
cal cul ate 3
bloody minded 2
ga ul tier 2
bl ur 2
merchant like 1
foot cloth 3
crest fallen 3
ab ort ive 4
void ing 1
long boats 1
smiled st 1
ha gs 4
aff y 2
sy lla 1
over gor ged 1
gob bet s 2
thorough 13
hat ing 2
en cro ach ing 1
reven ging 2
hopeful 10
invit is 1
n u bi bus 1
thee away 1
dru d ges 2
bar gul us 1
illy rian 1
dr ones 3
bee hi ves 1
waf t 6
p ene 1
ge li d us 1
tim or 1
occup at 1
art us 1
un covered 4
be z on ians 1
bandit to 1
t ully 1
island ers 5
cloth ier 1
nap 4
hand ic ra f ts men 1
work men 3
best s 1
wing ham 1
iniquity s 1
argo 1
saw y er 1
her rings 2
bri ck lay er 2
midwife 11
la cies 1
ped lers 1
la ces 1
fur red 3
bu cks 3
market days 1
loa ves 1
three hoop ed 1
fe l ony 2
cheap side 2
people there 1
scri b bled 2
copies 9
ob lig ations 1
cour th and 1
die come 1
em man ue l 1
plain dealing 3
cotta ges 2
silken co ated 1
pla ster er 1
shear man 1
garden er 8
beggar woman 1
bri cks 1
myself go 1
span counter 1
further more 3
say es 1
main ed 1
ge ld ed 4
be have dst 1
deser vest 3
bri g and ine 1
dra gged 3
may ors 1
gaol s 1
s often s 1
th robbing 2
mour ned 2
killing worth 2
appe ased 3
got ten 5
thir sting 1
with stand 2
p iss ing 1
condu it 4
clar et 1
sa voy 1
st ink s 1
toast ed 3
one andtwenty 1
fif te ens 1
sub s id y 1
serge 1
point blank 2
jur is diction 2
moun sieur 1
bas ime cu 1
bes om 1
ere ct ing 1
gra m mar 2
fore fathers 3
t ally 1
paper mill 1
us ually 2
n oun 1
ver b 1
ought st 1
bona 21
ter ra 2
mal a 1
comment aries 1
civil st 1
exact ed 1
parley ed 1
be hoof 3
struck st 1
reach ing 3
ca ud le 3
hat che t 1
pal sy 3
stead ier 1
be head 1
in jured 3
blood shed ding 1
harbour ing 1
son in laws 2
crom er 1
po les 1
obdurate 9
cap ite 1
consu lt 4
ma ces 1
rabble ment 2
magn us 1
lord ing 1
vill iago 1
c ades 2
staying in 1
mid dest 1
ter race 1
hal ters 3
re de emed 3
in fortunate 2
advertis ed 6
gall ow glasses 2
pro cla ime th 1
red ound 1
bri ck 3
sall et 4
brain pan 1
tur mo iled 1
content eth 1
leave ah 1
ost rich 1
what soeer 5
door nail 1
stead fast gazing 1
dig ged 4
for bears 2
bur ly bon ed 1
ch ines 1
bury ing 4
un conquered 2
hallow 4
em blaze 1
sanct a 1
majest as 1
fleur de luce 1
te la mon ius 1
pled ges 4
mar cheth 3
long imprisoned 1
gr asp 3
achilles 169
enfranch isement 6
blood bes pot ted 1
ne apo lit an 5
mis takes 6
chop 9
false heart 1
fell lur king 1
bait ing place 1
oer ween ing 1
pa w 3
ind ig est ed 2
orph an 3
patri mony 4
custo med 2
sop his ter 1
ram pant 1
cha ined 2
st ig mat ic 2
cum berland 3
deadly handed 1
un assa iled 1
pro w ess 3
cour on ne 1
o eu v res 1
frozen 13
pre mis ed 1
chair days 1
re claims 1
fla x 5
me dea 2
ab sy r tus 1
clifford s 6
anch ises 3
read ily 2
blasphe my 3
dis com fit 1
forget s 4
con tus ions 1
br ush 2
repair ing 1
wr its 1
etern ized 1
to w ton 2
sa xt on 2
middle ham 2
bar net 4
tew kes bury 3
rutland 24
montague 87
pembroke 41
elizabeth 125
richmond 70
montgomery 10
somer ville 6
huntsman 17
wilt sh ires 1
usur ps 5
by words 1
st ur dy 2
asp ire 8
po lt ro ons 1
sha mbles 2
dis prove 4
mar ched 5
honour est 1
ca vill ing 1
interrup ts 1
wind ing sheet 2
resign ed 3
un constrained 3
pre jud ic ial 1
lay st 2
es sex 5
stam ps 7
li fet ime 1
un nat ura lly 1
dis inherit 3
condition ally 1
reconci led 7
dis inher ited 3
chancellor 13
envir oned 7
tos sed 4
prefer st 1
repe aled 5
lu ke warm 3
pri vi ly 5
kent ish men 1
rest eth 3
when as 6
cha plain 4
pent up 2
coff ins 2
sla ke 1
miser ably 1
di 1
fa ci ant 1
lau dis 1
sum ma 1
is ta 1
tua e 1
cle a ving 3
blade 12
rescu ing 1
hunger starved 1
be chance d 1
fal ch ion 8
h ilt 3
hard iest 1
bud ged 1
over match ing 1
number ed 3
quench less 2
p hath on 3
noon tide 5
scorn ing 7
inve ct ives 1
pro long 3
stru g gl es 2
g in 5
cony 1
stru gg le 3
oer matched 1
out stretched 3
revell ed 3
preach ment 1
cro ok back 3
dick y 1
d ad 3
ra ve 5
par ched 2
rut lands 3
un pardon able 1
she wolf 1
capti v ates 1
vi zard like 1
un changing 1
ty pe 3
sic ils 2
ad age 2
wonder ed 7
antip od es 5
se pt ent ri on 1
wra pped 5
fle x ible 2
allay s 1
in ex or able 2
hy r can ia 1
di pped st 1
fast falling 1
hard hearted 8
weeping ripe 2
stab bing 6
gentle hearted 1
northumberland s 2
sing led 4
thick est 4
far ed 2
op es 2
pr ancing 1
separ ated 4
ra cking 1
clear shining 1
in viola ble 3
me eds 1
over shine 2
forete ll 5
look er on 3
hard est tim ber ed 1
slaughtered 11
sad dest 2
vie wed 6
treach er ously 2
closed 6
moist ure 4
fur na ce burning 1
kind ling 2
attempt ing 2
angu ish 6
wake field 1
must ered 1
fierce ly 1
cold ness 2
he ated 5
nigh to wls 2
th res her 1
fla il 1
fa med 4
mild ness 8
number ing 2
hel me ts 4
haught 3
easy melting 1
fail st as 1
bor ough 2
arch enemy 1
infring ed 3
un loving 1
un reasonable 4
offer ing 8
young s 1
infer ring 1
arguments 11
ho ard ing 2
thousand fold 4
un sheathe 3
dar ra ign 1
heart en 1
long tong ued 2
big s wol n 2
child kill er 1
missha pen 7
toads 9
extra ught 1
wis p 1
menelaus 33
agamem nons 8
ta med 3
brid al 8
bre wed 2
sli pped 4
he wn 2
den iest 4
run ners 1
re paid 5
cloud ed 6
with drawn 2
cl ang or 1
fet locks 2
pluck er 1
where er 7
olymp ian 2
for slow 1
che ers 7
s ways 8
tu gging 1
contempl ate 1
e an 1
haw thorn 7
em bro id ered 2
cur ds 3
delic ates 1
un wares 1
warwicks 13
bere ave d 2
flow ed 3
stout ly 4
foe mans 1
butcher ly 1
err one ous 2
ruth ful 3
mis think 1
ru ed 1
be moan ed 1
sad hearted 1
over gone 1
gl ued 4
tough 9
comm i xt ures 1
im pair ing 1
strengthen ing 1
mis proud 1
sc or ched 2
sway ed 2
luck less 2
plaint s 4
cure less 3
e ff use 1
argo sy 5
he wing 1
s pray 1
sc reech owl 3
threaten ing 6
oer sha des 2
pitied st 1
issu ing 4
st if le 4
un sta un ched 1
thick grown 1
la und 2
cull ing 2
cross bow 1
sc are 4
prayer book 2
wish ful 1
skins 6
bat try 4
br in ish 4
infer re th 1
de cked 3
indian 7
obey ing 3
re possess 4
p lies 4
blunt est 1
in compar able 5
con cu b ine 1
ghost ly 7
shrift 9
shri ver 1
conveyed 10
honour ably 7
unlooked for 3
pre meditation 1
s unders 1
la de 1
im possi bil ities 3
oer we ens 1
sh rub 2
de form ity 5
dis proportion 2
cha os 6
un li cked 1
bear whelp 1
missha ped 2
im pa led 1
toil ing 2
desperate ly 4
art ific ial 7
nestor 68
sin on 7
cha me leon 3
proteus 221
con form 1
daunt less 4
possess or 2
true anointed 1
wa ite th 1
un feigned 3
well meant 1
sup pres seth 1
dis an n ul s 1
line ally 1
obeyed st 1
au bre y 1
vere 3
mellow ed 2
up holds 4
re counted 1
pull er 1
un ho ped 1
prove th 2
mis deed 1
im pale 1
gr ud ges 1
serv itor 4
re plant 1
jo ins 2
margaret s 5
mask ers 6
un crown 2
well chosen 1
pens ive 2
mal content 4
home bred 3
gi v n 1
bon ville 1
choo sing 5
relate 10
fore war ned 2
mistrust ful 2
cover ture 2
diome de 1
sle ight 1
r hes us 1
doubted 9
wak en 4
night foes 1
sounding 7
calld st 3
em bas sa de 1
for ci bly 3
impose 10
misfortune 10
we an 3
off spring 7
blood su cking 1
th ic ket 6
dis port 2
hunts men 6
require th 1
ly n n 1
ship ped 8
f land ers 2
gues sed 2
fees 8
in ca ged 1
set tst 2
thwart ing 4
avoid ing 1
creat ors 1
